log_prob_true,time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,log_px_z,kl_z,elbo,objective,time_forward
-5.606074333190918,4.709434986114502,10.558479309082031,-10.558479309082031,5.26500940322876,10.558479309082031,-10.558479309082031,68,1379,,,,,,,,,,,
,,16.243667602539062,,,,,69,1399,,,,,,,-9.87313175201416,6.370532989501953,-16.243667602539062,-16.243667602539062,8.60542106628418
-5.606074333190918,4.587364673614502,9.66440200805664,-9.66440200805664,5.110274791717529,9.664402961730957,-9.664402961730957,69,1399,,,,,,,,,,,
-5.606074333190918,4.7946929931640625,10.286873817443848,-10.286873817443848,5.324669361114502,10.286873817443848,-10.286873817443848,70,1419,,,,,,,,,,,
-5.606074333190918,5.625724792480469,9.709868431091309,-9.709868431091309,6.442047119140625,9.709868431091309,-9.709868431091309,71,1439,40.55653762817383,0.025406956672668457,-4.862997055053711,-0.7482715249061584,40.55653762817383,0.025406956672668457,,,,,
,,16.595020294189453,,,,,72,1449,,,,,,,-10.229379653930664,6.365641117095947,-16.595020294189453,-16.595020294189453,5.153007984161377
-5.606074333190918,5.074024200439453,10.568150520324707,-10.568150520324707,5.563676834106445,10.56814956665039,-10.56814956665039,72,1459,,,,,,,,,,,
-5.606074333190918,4.974174976348877,10.148759841918945,-10.148759841918945,5.416419506072998,10.148759841918945,-10.148759841918945,73,1479,,,,,,,,,,,
,,15.944716453552246,,,,,74,1499,,,,,,,-9.42984676361084,6.514870643615723,-15.944716453552246,-15.944716453552246,8.650123596191406
-5.606074333190918,4.763126373291016,10.40728759765625,-10.40728759765625,5.265096187591553,10.407288551330566,-10.407288551330566,74,1499,,,,,,,,,,,
-5.606074333190918,4.690361022949219,10.124037742614746,-10.124037742614746,5.28906774520874,10.124038696289062,-10.124038696289062,75,1519,,,,,,,,,,,
-5.606074333190918,4.954242706298828,9.774733543395996,-9.774733543395996,5.415519714355469,9.774733543395996,-9.774733543395996,76,1539,,,,,,,,,,,
,,16.24714469909668,,,,,77,1549,,,,,,,-9.808629035949707,6.438515663146973,-16.24714469909668,-16.24714469909668,5.431939125061035
-5.606074333190918,5.034637451171875,9.53522777557373,-9.53522777557373,5.492338180541992,9.53522777557373,-9.53522777557373,77,1559,,,,,,,,,,,
-5.606074333190918,4.776095867156982,10.309554100036621,-10.309554100036621,5.373374938964844,10.309555053710938,-10.309555053710938,78,1579,,,,,,,,,,,
