log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,log_px_z,kl_z,elbo,objective,time_forward
,,29.271896362304688,,,,,,44,899,,,,,,,,,-19.999513626098633,9.272384643554688,-29.271896362304688,-29.271896362304688,13.11740493774414
-13.53038215637207,7.588576793670654,16.452701568603516,-16.452701568603516,-13.530383110046387,8.162286758422852,16.452701568603516,-16.452701568603516,44,899,,,,,,,,,,,,,
-13.53038215637207,7.581806182861328,18.29701042175293,-18.29701042175293,-13.530383110046387,8.241339683532715,18.297008514404297,-18.297008514404297,45,919,,,,,,,,,,,,,
-13.53038215637207,7.83357572555542,19.55669593811035,-19.55669593811035,-13.530383110046387,8.447802543640137,19.55669593811035,-19.55669593811035,46,939,,,,,,,,,,,,,
,,28.725208282470703,,,,,,47,949,,,,,,,,,-19.268444061279297,9.456764221191406,-28.725208282470703,-28.725208282470703,9.070615768432617
-13.53038215637207,7.419776916503906,18.012617111206055,-18.012617111206055,-13.530383110046387,7.973354339599609,18.012619018554688,-18.012619018554688,47,959,,,,,,,,,,,,,
-13.53038215637207,7.706642150878906,17.98590087890625,-17.98590087890625,-13.530383110046387,8.316609382629395,17.985902786254883,-17.985902786254883,48,979,,,,,,,,,,,,,
,,30.638269424438477,,,,,,49,999,,,,,,,,,-21.43067169189453,9.207602500915527,-30.638269424438477,-30.638269424438477,13.394828796386719
-13.53038215637207,7.640742778778076,17.801292419433594,-17.801292419433594,-13.530383110046387,8.253355979919434,17.80129051208496,-17.80129051208496,49,999,,,,,,,,,,,,,
-13.53038215637207,7.681084156036377,18.790836334228516,-18.790836334228516,-13.530383110046387,8.255640983581543,18.790836334228516,-18.790836334228516,50,1019,,,,,,,,,,,,,
-13.53038215637207,7.52229642868042,18.273273468017578,-18.273273468017578,-13.530383110046387,8.088705062866211,18.27327537536621,-18.27327537536621,51,1039,39.52859115600586,0.017333984375,-12.414362907409668,-1.0782161951065063,39.52859115600586,0.017333984375,-12.414363861083984,-1.0782161951065063,,,,,
,,29.48878288269043,,,,,,52,1049,,,,,,,,,-20.11301612854004,9.37576675415039,-29.48878288269043,-29.48878288269043,9.261770248413086
-13.53038215637207,7.406806945800781,17.903873443603516,-17.903873443603516,-13.530383110046387,7.976057529449463,17.903871536254883,-17.903871536254883,52,1059,,,,,,,,,,,,,
-13.53038215637207,7.638072490692139,17.486074447631836,-17.486074447631836,-13.530383110046387,8.198932647705078,17.486072540283203,-17.486072540283203,53,1079,,,,,,,,,,,,,
,,29.215492248535156,,,,,,54,1099,,,,,,,,,-20.266117095947266,8.94937801361084,-29.215492248535156,-29.215492248535156,12.900022506713867
-13.53038215637207,7.585239410400391,17.923437118530273,-17.923437118530273,-13.530383110046387,8.124213218688965,17.923437118530273,-17.923437118530273,54,1099,,,,,,,,,,,,,
-13.53038215637207,7.693004608154297,18.089414596557617,-18.089414596557617,-13.530383110046387,8.374653816223145,18.089414596557617,-18.089414596557617,55,1119,,,,,,,,,,,,,
-13.53038215637207,7.576370716094971,19.277189254760742,-19.277189254760742,-13.530383110046387,8.136638641357422,19.277191162109375,-19.277191162109375,56,1139,,,,,,,,,,,,,
,,29.812463760375977,,,,,,57,1149,,,,,,,,,-20.60284423828125,9.209619522094727,-29.812463760375977,-29.812463760375977,8.656410217285156
-13.53038215637207,7.539176940917969,19.75444984436035,-19.75444984436035,-13.530383110046387,8.086531639099121,19.75444793701172,-19.75444793701172,57,1159,,,,,,,,,,,,,
-13.53038215637207,7.5830464363098145,17.847532272338867,-17.847532272338867,-13.530383110046387,8.29391098022461,17.847532272338867,-17.847532272338867,58,1179,,,,,,,,,,,,,
,,28.900941848754883,,,,,,59,1199,,,,,,,,,-19.496294021606445,9.404642105102539,-28.900941848754883,-28.900941848754883,13.312872886657715
-13.53038215637207,7.437801361083984,18.315311431884766,-18.315311431884766,-13.530383110046387,8.006192207336426,18.315311431884766,-18.315311431884766,59,1199,,,,,,,,,,,,,
-13.53038215637207,7.605171203613281,17.83799934387207,-17.83799934387207,-13.530383110046387,8.143773078918457,17.83799934387207,-17.83799934387207,60,1219,,,,,,,,,,,,,
